countyid,countyname,county_pop2019,female,male,american_indian_or_alaska_native,asian_or_pacific_islander,black_or_african_american,hispanic_or_latino,white,estimate_housing_occupancy_total_housing_units_occupied_housing_units,percent_housing_occupancy_total_housing_units_occupied_housing_units,estimate_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_occupancy_total_housing_units_vacant_housing_units,estimate_housing_occupancy_total_housing_units_homeowner_vacancy_rate,estimate_housing_occupancy_total_housing_units_rental_vacancy_rate,estimate_units_in_structure_total_housing_units_1_unit_detached,estimate_units_in_structure_total_housing_units_1_unit_attached,estimate_units_in_structure_total_housing_units_2_units,estimate_units_in_structure_total_housing_units_3_or_4_units,estimate_units_in_structure_total_housing_units_5_to_9_units,estimate_units_in_structure_total_housing_units_10_to_19_units,estimate_units_in_structure_total_housing_units_20_or_more_units,estimate_units_in_structure_total_housing_units_mobile_home,estimate_units_in_structure_total_housing_units_boat_rv_van_etc,estimate_year_structure_built_total_housing_units_built_2014_or_later,percent_year_structure_built_total_housing_units_built_2014_or_later,estimate_year_structure_built_total_housing_units_built_2010_to_2013,percent_year_structure_built_total_housing_units_built_2010_to_2013,estimate_year_structure_built_total_housing_units_built_2000_to_2009,percent_year_structure_built_total_housing_units_built_2000_to_2009,estimate_year_structure_built_total_housing_units_built_1990_to_1999,percent_year_structure_built_total_housing_units_built_1990_to_1999,estimate_year_structure_built_total_housing_units_built_1980_to_1989,percent_year_structure_built_total_housing_units_built_1980_to_1989,estimate_year_structure_built_total_housing_units_built_1970_to_1979,percent_year_structure_built_total_housing_units_built_1970_to_1979,estimate_year_structure_built_total_housing_units_built_1960_to_1969,percent_year_structure_built_total_housing_units_built_1960_to_1969,estimate_year_structure_built_total_housing_units_built_1950_to_1959,percent_year_structure_built_total_housing_units_built_1950_to_1959,estimate_year_structure_built_total_housing_units_built_1940_to_1949,percent_year_structure_built_total_housing_units_built_1940_to_1949,estimate_year_structure_built_total_housing_units_built_1939_or_earlier,percent_year_structure_built_total_housing_units_built_1939_or_earlier,estimate_rooms_total_housing_units_median_rooms,estimate_occupants_per_room_occupied_housing_units,estimate_occupants_per_room_occupied_housing_units_1_00_or_less,estimate_occupants_per_room_occupied_housing_units_1_01_to_1_50,estimate_occupants_per_room_occupied_housing_units_1_51_or_more,percent_new,percent_old,county_pop_2020,total_confirmed_cases,total_deaths,death_rate,confirmed_case_rate,percent_female,percent_male,percent_american_indian_or_alaska_native,percent_asian_or_pacific_islander,percent_black_or_african_american,percent_hispanic_or_latino,percent_white,total_housing_units,Parks usage percent during covid,Workspace usage percent during covid,Residential usage percent during covid,Housing units in multi-unit structures percent,Persons per household,Median household income in dollar,dominant_race,dominant_ethnicity,dominant_race_white,dominant_ethnicity_hispanic_or_latino,occupants_per_room_1_more_vs_1_less,percnet_housing_small,percnet_housing_small_medium
6055,Napa,137744,69209,68535,708,12977,3438,47660,72961,48107,0.864,7552,0.136,1,5.9,37094,2655,1488,2505,1844,1037,4140,4896,0,1918,0.034,500,0.009,5562,0.1,7355,0.132,7785,0.14,10847,0.195,6455,0.116,6856,0.123,3103,0.056,5278,0.095,5.4,48107,45269,1890,948,0.726,0.274,139652,1727,13,9.30885343568298,1236.64537564804,0.502446567545592,0.497553432454408,0.00513996979904751,0.0942110001161575,0.024959344871646,0.346004181670345,0.529685503542804,55659,78,-34,10,18.2,2.62,51912,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0626919083699662,0.019706071881431,0.0589934936703598
6057,Nevada,99755,50752,49003,1073,1804,919,9732,86227,39365,0.718,15460,0.282,3.8,7.3,47115,955,326,1451,758,533,992,2695,0,1629,0.03,487,0.009,8139,0.148,8830,0.161,12010,0.219,11808,0.215,4729,0.086,2793,0.051,1468,0.027,2932,0.053,5.7,39365,38173,1021,171,0.868,0.131,98710,539,7,7.09148009320231,546.043967176578,0.508766477870783,0.491233522129217,0.0107563530650093,0.0180843065510501,0.00921257079845622,0.0975590195980151,0.864387749987469,54825,142,-27,6,8.4,2.47,47626,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0312262593980038,0.00434396037088785,0.0302807062111012
6059,Orange,3175692,1608867,1566825,8732,708484,62548,1081091,1314837,1044280,0.934,73868,0.066,1.3,5,564556,134212,17311,81125,73458,59505,155384,31762,835,53164,0.048,20244,0.018,88675,0.079,123150,0.11,159683,0.143,254963,0.228,216619,0.194,148821,0.133,26177,0.023,26652,0.024,5.1,1044280,953234,58521,32525,0.82,0.18,3228519,52755,1249,38.6864689351371,1634.03095970629,0.506619344697156,0.493380655302844,0.00274963692952591,0.223095942553623,0.019695864712321,0.340426905379993,0.414031650424537,1118148,20,-40,13,33.2,3,55861,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0955127492305142,0.0311458612632627,0.087185429195235
6061,Placer,398329,203841,194488,2787,36629,8901,57381,292631,147236,0.872,21706,0.128,0.3,4.6,132699,4081,1462,6581,7242,4969,7568,4031,309,10865,0.064,5185,0.031,42424,0.251,32827,0.194,26882,0.159,23083,0.137,11738,0.069,7215,0.043,3158,0.019,5565,0.033,5.9,147236,143937,2642,657,0.905,0.095,400434,3570,45,11.2378069794273,891.532687034568,0.511740295082708,0.488259704917292,0.00699672883470699,0.091956648900783,0.0223458497874872,0.144054286783036,0.734646485693987,168942,58,-39,10,15.9,2.63,61474,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0229197496126778,0.00446222391263006,0.0224062050042109
6063,Plumas,18807,9450,9357,497,236,330,1750,15994,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,18997,48,0,0,252.671474443333,0.502472483649705,0.497527516350295,0.0264263306215771,0.0125485191683947,0.017546658159196,0.0930504599351305,0.850428032115702,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6065,Riverside,2470546,1238534,1232012,14386,180386,168461,1236032,871281,734948,0.857,122274,0.143,2.1,4.7,589126,41160,9054,33643,39157,24542,43007,76357,1176,38684,0.045,19166,0.022,209704,0.245,144433,0.168,182875,0.213,116474,0.136,63170,0.074,48539,0.057,16565,0.019,17612,0.021,5.4,734948,683512,38809,12627,0.903,0.097,2468145,58863,1216,49.2677699243764,2384.90850416001,0.501319951136308,0.498680048863693,0.00582300430754983,0.0730146291548508,0.0681877609241034,0.500307219537705,0.352667386075791,857222,-37,-36,9,17.6,2.98,44595,Dominantly non-white,Hispanic or Latino,0,1,0.0752525193412844,0.0171808073496356,0.0699859037646201
6067,Sacramento,1552058,793161,758897,10559,288927,174466,366764,711342,556752,0.962,22214,0.038,0.9,2.5,373593,39952,9854,27051,36023,26705,50002,15076,710,14498,0.025,8805,0.015,85374,0.147,72195,0.125,98212,0.17,113684,0.196,70796,0.122,63228,0.109,26368,0.046,25806,0.045,5.3,556752,528758,18617,9377,0.8,0.2,1567975,22547,416,26.5310352524753,1437.96935537875,0.511038247281996,0.488961752718004,0.00680322513720492,0.18615734721254,0.11240945892486,0.236308179204643,0.458321789520752,578966,4,-42,12,27.4,2.64,46296,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0529429341967403,0.0168423283616404,0.0502809150214099
6069,San Benito,62808,31360,31448,311,2207,850,38214,21226,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49929945229907,0.50070054770093,0.00495159852248121,0.0351388358170934,0.0135333078588715,0.608425678257547,0.337950579544007,,,,,,,,Dominantly non-white,Hispanic or Latino,0,1,,,
6071,San Bernardino,2180085,1094478,1085607,10743,174979,190348,1186808,617207,644758,0.882,86635,0.118,2,3.7,503823,31304,12052,32459,27167,22982,57196,43283,1127,21171,0.029,16617,0.023,100993,0.138,94664,0.129,163789,0.224,124306,0.17,73720,0.101,85140,0.116,25893,0.035,25100,0.034,5.3,644758,593552,37080,14126,0.814,0.185,2217398,53753,952,42.9332036918947,2424.14758198573,0.502034553698594,0.497965446301406,0.00492778951279423,0.0802624668304217,0.0873121919558182,0.544386113385487,0.283111438315479,731393,-32,-26,8,19.4,3.15,43185,Dominantly non-white,Hispanic or Latino,0,1,0.0862704531363722,0.0219089953129701,0.0794189447823835
6073,San Diego,3338330,1658313,1680017,17398,442681,179393,1140033,1558825,1132434,0.918,101489,0.082,1.1,4.8,620323,129909,17051,51288,86600,87141,193371,47273,967,40602,0.033,21445,0.017,142415,0.115,146659,0.119,218981,0.177,281627,0.228,156495,0.127,131516,0.107,44564,0.036,49619,0.04,4.9,1132434,1052973,52017,27444,0.816,0.183,3370418,46987,781,23.1722000060527,1394.1000789813,0.496749272840013,0.503250727159987,0.00521158782984307,0.132605524319046,0.0537373477157741,0.341497994506235,0.466947545629102,1233923,9,-42,13,35.1,2.73,48634,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0754634734223954,0.024234524925956,0.0701683276906204
6075,San Francisco,881549,432328,449221,2399,325796,49496,134309,369549,365851,0.9,40548,0.1,0.9,3,76822,44526,38774,46034,42536,34727,122152,326,502,14846,0.037,7094,0.017,28850,0.071,16972,0.042,22028,0.054,29413,0.072,32484,0.08,33827,0.083,37562,0.092,183323,0.451,4,365851,339213,9705,16933,0.373,0.626,892280,11142,101,11.3193168063836,1248.71116689828,0.490418570039782,0.509581429960218,0.00272134617587905,0.36957219621371,0.0561466237270986,0.152355683007978,0.419204150875334,406399,-13,-67,25,67.7,2.3,51302,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0785288299681911,0.0462838696627862,0.0728110624270536
6077,San Joaquin,762148,381955,380193,4311,132411,60528,320334,244564,230241,0.926,18432,0.074,1.5,4.7,181144,10923,4885,10592,8950,7170,15682,9046,281,11012,0.044,4248,0.017,41836,0.168,36828,0.148,36699,0.148,37768,0.152,26858,0.108,23995,0.096,11585,0.047,17844,0.072,5.4,230241,210433,14370,5438,0.785,0.215,782545,20094,447,57.1213157070839,2567.77565507415,0.501155943465049,0.498844056534951,0.00565638170014223,0.173733972929142,0.0794176459165411,0.420304192886421,0.320887806567753,248673,20,-31,8,20.9,3,42749,Dominantly non-white,Not Hispanic or Latino,0,0,0.0941297229997196,0.0236187299394982,0.0860315929830048
6079,San Luis Obispo,283111,139734,143377,1767,12160,6093,64860,198231,106512,0.859,17457,0.141,2,7.5,83416,6292,5225,7334,4904,3318,3985,9447,48,4922,0.04,2901,0.023,18790,0.152,14740,0.119,26728,0.216,22959,0.185,10605,0.086,9413,0.076,5060,0.041,7851,0.063,5.2,106512,102777,2724,1011,0.821,0.18,278862,3581,31,11.1166096492172,1284.14771464022,0.493566127773206,0.506433872226794,0.00624136822659664,0.042951351236794,0.0215215940037653,0.229097421152834,0.70018826538001,123969,76,-35,9,18.6,2.49,44220,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0363408155521177,0.00949188823794502,0.0350664713835061
6081,San Mateo,766573,387065,379508,1501,250817,21190,183978,309087,265003,0.945,15497,0.055,0.8,4.5,151993,23081,6278,16928,18232,19146,42351,2143,348,7677,0.027,4303,0.015,15083,0.054,18481,0.066,27235,0.097,43919,0.157,46510,0.166,63115,0.225,29800,0.106,24377,0.087,5,265003,244202,12687,8114,0.582,0.418,778001,9619,150,19.2801808738035,1236.37373216744,0.504929080465918,0.495070919534082,0.00195806531145762,0.327192583093848,0.0276425076281059,0.240000626163457,0.403206217803132,280500,17,-57,22,32.3,2.74,64998,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0851794825595204,0.0306185212997589,0.0784934510175356
6083,Santa Barbara,446499,223254,223245,2373,27160,10076,205535,201355,146466,0.92,12820,0.08,1.3,3.8,91322,10501,5058,7720,13021,10531,14430,6703,0,4241,0.027,2539,0.016,11089,0.07,16846,0.106,23752,0.149,28522,0.179,28999,0.182,23109,0.145,6345,0.04,13844,0.087,4.9,146466,131907,9439,5120,0.729,0.272,456373,9149,113,24.7604481421995,2004.71982347773,0.50001007841003,0.49998992158997,0.00531468155583775,0.0608288036479365,0.022566679880582,0.460325779005104,0.45096405591054,159286,36,-37,8,29.2,2.8,45713,Dominantly non-white,Not Hispanic or Latino,0,0,0.110373217494144,0.0349569183291685,0.0994019089754619
6085,Santa Clara,1927852,951005,976847,5300,766054,52668,482298,621532,643637,0.938,42669,0.062,0.8,5,345405,71591,10683,35163,34823,39103,129489,19646,403,35027,0.051,13935,0.02,58975,0.086,66193,0.096,85961,0.125,147217,0.215,123999,0.181,96454,0.141,23699,0.035,34846,0.051,5,643637,593837,29477,20323,0.774,0.227,1967585,21233,318,16.1619447190337,1079.14016421146,0.493297722024305,0.506702277975695,0.00274917369175642,0.397361415710335,0.0273195245278165,0.2501737685258,0.322396117544293,686306,-18,-60,23,31.6,2.92,68167,Dominantly non-white,Not Hispanic or Latino,0,0,0.0838613963090882,0.0315752512674069,0.0773728048573963
6087,Santa Cruz,273213,138037,135176,1415,15575,4058,92922,159243,97710,0.912,9427,0.088,0.4,2,70428,7306,3778,6137,4945,3188,5840,5497,18,1286,0.012,1030,0.01,8561,0.08,8073,0.075,17777,0.166,22769,0.213,15502,0.145,10353,0.097,8887,0.083,12899,0.12,5.1,97710,91250,4406,2054,0.701,0.3,273999,2383,10,3.64964835638086,869.71120332556,0.505235841632719,0.494764158367281,0.00517910933959951,0.0570068042150264,0.0148528803534239,0.340108267176159,0.582852938915791,107137,72,-38,11,20.4,2.71,60890,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0707945205479452,0.0210213898270392,0.066114010848429
6089,Shasta,180080,91607,88473,4916,6584,3221,18935,146424,72714,0.925,5907,0.075,0.6,1.4,54857,1762,1952,4106,2689,622,2819,9398,416,1437,0.018,1024,0.013,10609,0.135,13160,0.167,13688,0.174,17082,0.217,8827,0.112,7182,0.091,3215,0.041,2397,0.03,5.3,72714,70746,1515,453,0.836,0.162,177925,943,20,11.2406913025151,529.998594913587,0.508701688138605,0.491298311861395,0.0272989782318969,0.0365615282096846,0.0178864948911595,0.105147712127943,0.813105286539316,78621,121,-23,3,15.4,2.52,36418,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0278178271563057,0.00622988695436917,0.0270649393514316
6091,Sierra,3005,1496,1509,54,24,45,381,2501,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,6,0,0,192.616372391653,0.49783693843594,0.50216306156406,0.0179700499168053,0.00798668885191348,0.0149750415973378,0.126788685524126,0.832279534109817,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6093,Siskiyou,43539,21885,21654,2109,903,950,5744,33833,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,43956,150,0,0,341.250341250341,0.502652794046717,0.497347205953283,0.0484393302556329,0.0207400261834218,0.021819518133168,0.131927697007281,0.777073428420497,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6095,Solano,447643,224879,222764,2543,79486,68662,122103,174849,150393,0.941,9411,0.059,0.8,4.3,111701,6952,2473,9410,9121,5993,9159,4539,456,6087,0.038,2641,0.017,18715,0.117,23127,0.145,33196,0.208,31729,0.199,16031,0.1,11762,0.074,6518,0.041,9998,0.063,5.6,150393,143212,4315,2866,0.824,0.178,444255,6303,69,15.5316203531755,1418.77975487051,0.502362373587881,0.497637626412119,0.00568086622598812,0.17756560473413,0.153385622024694,0.272768701844997,0.390599205170191,159804,0,-34,10,20.7,2.9,56545,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0501424461637293,0.0190567380130724,0.0477482329629704
6097,Sonoma,494336,253115,241221,4288,25506,10793,134954,318795,190689,0.915,17604,0.085,0.3,2.7,139703,14727,4507,9733,8622,8485,12550,9706,260,6479,0.031,2876,0.014,21318,0.102,30828,0.148,36929,0.177,41133,0.197,23955,0.115,17070,0.082,10149,0.049,17556,0.084,5.2,190689,180061,7729,2899,0.784,0.215,496668,7426,122,24.5636924464632,1495.16377137243,0.512030279000518,0.487969720999482,0.00867426204039358,0.0515964849818747,0.0218333279388918,0.27300055023304,0.6448953748058,208293,35,-33,11,17.7,2.6,52034,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0590244417169737,0.0152027647111265,0.0557347303724913
6099,Stanislaus,550660,277704,272956,3490,37369,17908,262068,229825,174698,0.955,8289,0.045,1.2,1.9,139594,5735,4011,6133,5127,3371,10651,8276,89,3530,0.019,2445,0.013,30050,0.164,24867,0.136,29327,0.16,38432,0.21,17493,0.096,13949,0.076,9065,0.05,13829,0.076,5.3,174698,162029,10023,2646,0.798,0.202,562303,16505,359,63.8445820136119,2935.25021207427,0.504311190208114,0.495688809791886,0.00633784912650274,0.0678622017215705,0.0325209748302038,0.47591617331929,0.417362801002433,182987,32,-31,7,17,3.03,41524,Dominantly non-white,Not Hispanic or Latino,0,0,0.0781897067808849,0.0151461379065587,0.072519433536732
6101,Sutter,96971,48668,48303,1088,16858,2769,30907,45349,33039,0.956,1538,0.044,4.2,0.3,24550,1549,1287,1738,1245,721,1889,1150,448,510,0.015,471,0.014,5557,0.161,4669,0.135,6017,0.174,5848,0.169,4309,0.125,3273,0.095,2559,0.074,1364,0.039,5.4,33039,30273,1731,1035,0.793,0.208,105747,1677,11,10.4021863504402,1585.86059178984,0.501882005960545,0.498117994039455,0.0112198492332759,0.173845788947211,0.0285549287931443,0.318724154644172,0.467655278382197,34577,,-30,6,20,2.87,39633,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0913685462293132,0.0313266140016344,0.0837192408971216
6103,Tehama,65084,32718,32366,1503,1070,856,16776,44879,25310,0.909,2538,0.091,1.2,0,19569,463,145,98,1002,164,1522,4563,322,500,0.018,518,0.019,3866,0.139,3325,0.119,5244,0.188,5908,0.212,2742,0.098,2855,0.103,1047,0.038,1843,0.066,5.5,,,,,0.793,0.207,65885,585,5,7.58898079987858,887.910753585794,0.502704197652265,0.497295802347735,0.0230932333599656,0.0164402925450187,0.013152234036015,0.257759203490873,0.689555036568127,27848,34,-19,4,11.9,2.62,32842,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6105,Trinity,12285,5971,6314,613,220,171,907,10374,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,13354,16,0,0,119.814287853827,0.486039886039886,0.513960113960114,0.0498982498982499,0.0179080179080179,0.0139194139194139,0.0738298738298738,0.844444444444445,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6107,Tulare,466195,233206,232989,3668,16911,7028,305824,132764,144109,0.951,7490,0.049,0.6,2.4,113844,5127,3674,8047,2986,2736,4964,9952,269,8511,0.056,3939,0.026,26924,0.178,19781,0.13,26593,0.175,25079,0.165,14922,0.098,11402,0.075,8242,0.054,6206,0.041,5.3,144109,130059,11685,2365,0.828,0.17,484423,16055,263,54.2913940915275,3314.25221345807,0.500232735228821,0.499767264771179,0.00786795225174015,0.0362745203187507,0.015075236757151,0.656000171602012,0.284782119070346,151599,59,-33,6,13.6,3.28,33157,Dominantly non-white,Hispanic or Latino,0,1,0.108027895032255,0.0164111887529578,0.0974956456571068
6109,Tuolumne,54478,26265,28213,1020,957,1249,6906,44346,,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,52351,224,4,7.64073274627037,427.881033791141,0.482121223246081,0.517878776753919,0.0187231543008187,0.0175667241822387,0.0229266860016888,0.126766768236719,0.814016667278535,,,,,,,,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,,,
6111,Ventura,846006,427294,418712,3302,70139,18281,365835,388449,268524,0.921,23023,0.079,1.1,4.5,182114,37035,3676,12432,13314,13046,18784,11024,122,5722,0.02,3508,0.012,28168,0.097,29811,0.102,51728,0.177,68871,0.236,56072,0.192,26843,0.092,8665,0.03,12159,0.042,5.6,268524,251641,11978,4905,0.836,0.164,852747,12875,150,17.5902113991606,1509.82647842795,0.505072068046799,0.494927931953201,0.00390304560487751,0.0829060313993045,0.021608593792479,0.432426011163041,0.459156318040298,291547,24,-39,12,20.5,3.04,57864,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.067091610667578,0.0182665236626894,0.0628733372063577
6113,Yolo,220500,113624,106876,1480,36083,6809,70392,105736,76075,0.96,3177,0.04,0,2.1,45588,5625,1734,4141,5785,5738,7778,2619,244,2404,0.03,2361,0.03,11032,0.139,11561,0.146,10567,0.133,15673,0.198,9747,0.123,8120,0.102,3301,0.042,4486,0.057,5.1,76075,72452,2579,1044,0.799,0.201,223612,2818,55,24.5961755183085,1260.21859291988,0.515301587301587,0.484698412698413,0.00671201814058957,0.163641723356009,0.0308798185941043,0.319238095238095,0.479528344671202,79252,-7,-43,12,31,2.71,43491,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0500055208965936,0.0137232993756162,0.0476240552086757
6115,Yuba,78668,38849,39819,1545,6142,3800,22925,44256,26827,0.923,2224,0.077,0,7.6,20262,469,1170,804,1019,1470,1373,2204,280,1002,0.034,614,0.021,6892,0.237,3605,0.124,3088,0.106,4834,0.166,3357,0.116,2892,0.1,1379,0.047,1388,0.048,5.5,26827,25446,835,546,0.804,0.195,79290,1071,8,10.089544709295,1350.73779795687,0.493834850256775,0.506165149743225,0.0196394976356333,0.0780749478822393,0.0483042660293893,0.291414552295724,0.562566736157014,29051,104,-32,6,17.5,2.87,32759,Dominantly white (non-Hispanic only),Not Hispanic or Latino,1,0,0.0542717912442034,0.0203526298132479,0.0514779885935811
